Domain	SpendDate	SpendSum	SalesRevenue	ARank	QRank	Premium_yes	Total	STATUS
craftedhospitality.com	2023-07-31 07:00:00	1134	0	119260	635181	2.0	25.0	Accepted
crazyjco.com	2023-07-25 07:00:00	101	0	100000001	0	0.0	1.0	Accepted
creekridge-services.com	2023-07-25 07:00:00	0	0	100000001	0	0.0	16.0	Accepted
crossbarco.com	2023-07-29 07:00:00	115	7782	100000001	-1	0.0	35.0	Accepted
crowdfundingselect.com	2023-07-28 22:00:00	0	0	100000001	-1	0.0	18.0	Rejected
cuisinewanderer.com	2023-07-28 07:00:00	51	6248	100000001	0	2.0	40.0	Accepted
cxdatalabs.com	2023-07-29 22:00:00	0	0	100000001	-1	0.0	18.0	Accepted
damespointworkboats.com	2023-07-31 07:00:00	12	0	37688831	-1	0.0	14.0	Accepted
damienshellfsp.com	2023-08-01 07:00:00	735	0	100000001	-1	4.0	34.0	Accepted
dannenbaumllc.com	2023-07-30 07:00:00	31	0	443738	-1	1.0	34.0	Accepted
darlenemacauley.com	2023-07-25 07:00:00	31	0	100000001	-1	1.0	25.0	Accepted
ddmachine.com	2023-07-25 07:00:00	0	0	8346766	0	0.0	6.0	Accepted
debbieellisenconsulting.com	2023-07-20 07:00:00	101	0	100000001	0	0.0	3.0	Accepted
deepestcut.com	2023-07-25 07:00:00	0	0	100000001	0	0.0	13.0	Accepted
demsforilhouse.com	2023-07-28 07:00:00	1528	120967	100000001	-1	3.0	46.0	Accepted
denverantiques.com	2023-07-25 07:00:00	373	23836	31514507	-1	2.0	33.0	Rejected
designcoaches.com	2023-07-25 07:00:00	0	0	100000001	-1	0.0	3.0	Accepted
desmoinesbreakerz.com	2023-08-21 23:00:00	0	22379	33221397	0	1.0	26.0	Rejected
detroitpublicthrift.com	2023-07-26 07:00:00	350	0	32643571	-1	1.0	19.0	Accepted
devzero.co.uk	2023-07-26 07:00:00	0	0	16196322	0	0.0	6.0	Rejected
dextonkids.com	2023-07-26 07:00:00	0	0	33514886	-1	0.0	24.0	Accepted
dhillontechnologies.net	2023-07-28 07:00:00	0	0	89306202	-1	0.0	34.0	Rejected
diamonddynastyllc.com	2023-07-26 07:00:00	86	5965	100000001	0	0.0	16.0	Accepted
digitalcounsel.xyz	2023-07-28 22:00:00	0	0	100000001	-1	0.0	1.0	Accepted
distribuidora-duche-west.myshopify.com	2023-08-01 10:57:12	0	0	0	0	1.0	16.0	Accepted
djapartners.net	2023-07-26 07:00:00	0	0	100000001	0	0.0	4.0	Rejected
dodddevelopmentgroup.com	2023-08-20 03:59:00	0	7782	100000001	-1	0.0	29.0	Accepted
dogwoodpropertyrentals.com	2023-07-26 07:00:00	481	0	84473917	-1	2.0	25.0	Accepted
dolphinschoolofrealestate.com	2023-07-27 07:00:00	254	0	65962234	-1	1.0	43.0	Accepted
donahuejg.com	2023-07-26 07:00:00	0	0	100000001	-1	0.0	15.0	Rejected
doodadswhatnots.com	2023-07-26 07:00:00	221	14935	100000001	-1	2.0	34.0	Rejected
